iter	Passed	Remaining
440	1401	1776
441	1404	1773
442	1408	1770
443	1412	1768
444	1415	1765
445	1418	1762
446	1422	1760
447	1425	1756
448	1428	1752
449	1432	1750
450	1434	1746
451	1437	1742
452	1440	1739
453	1443	1736
454	1446	1733
455	1449	1729
456	1453	1726
457	1457	1724
458	1461	1722
459	1465	1719
460	1467	1715
461	1470	1712
462	1472	1708
463	1475	1704
464	1478	1701
465	1481	1697
466	1484	1694
467	1487	1690
468	1491	1688
469	1496	1686
470	1500	1685
471	1504	1683
472	1510	1683
473	1514	1680
474	1517	1677
475	1520	1673
476	1523	1669
477	1525	1666
478	1528	1662
479	1531	1658
480	1533	1655
481	1536	1651
482	1540	1648
483	1544	1646
484	1548	1644
485	1553	1642
486	1562	1646
487	1566	1643
488	1574	1644
489	1596	1662
490	1604	1663
491	1617	1669
492	1621	1667
493	1625	1664
494	1629	1662
495	1633	1659
496	1642	1662
497	1649	1662
498	1654	1661
499	1662	1662
500	1667	1660
501	1669	1656
502	1671	1651
503	1674	1647
504	1677	1643
505	1679	1639
506	1681	1635
507	1684	1631
508	1686	1627
509	1689	1622
510	1691	1618
511	1694	1614
512	1697	1611
513	1700	1607
514	1702	1603
515	1705	1600
516	1708	1596
517	1711	1592
518	1713	1588
519	1715	1583
520	1717	1579
521	1719	1574
522	1721	1570
523	1723	1565
524	1725	1561
525	1727	1557
526	1729	1552
527	1731	1548
528	1733	1543
529	1736	1539
530	1738	1535
531	1740	1530
532	1742	1526
533	1744	1522
534	1747	1518
535	1749	1514
536	1752	1510
537	1754	1506
538	1756	1502
539	1758	1498
540	1760	1493
541	1762	1489
542	1764	1485
543	1767	1481
544	1768	1476
545	1770	1472
546	1773	1468
547	1775	1464
548	1777	1459
549	1779	1455
550	1781	1451
551	1783	1447
552	1785	1443
553	1787	1438
554	1789	1434
555	1792	1431
556	1794	1427
557	1797	1423
558	1799	1419
559	1802	1416
560	1804	1412
561	1806	1408
562	1809	1404
563	1811	1400
564	1813	1395
565	1815	1391
566	1817	1387
567	1819	1383
568	1821	1379
569	1824	1376
570	1826	1372
571	1829	1368
572	1831	1365
573	1834	1361
574	1836	1357
575	1839	1353
576	1842	1350
577	1844	1346
578	1847	1343
579	1850	1339
580	1852	1336
581	1855	1332
582	1859	1330
583	1863	1327
584	1867	1324
585	1872	1323
586	1881	1323
587	1884	1320
588	1890	1319
589	1902	1321
590	1906	1319
591	1909	1315
592	1913	1313
593	1916	1310
594	1919	1306
595	1924	1304
596	1929	1302
597	1937	1302
598	1940	1299
599	1944	1296
600	1946	1292
601	1949	1288
602	1951	1284
603	1953	1281
604	1957	1277
605	1959	1273
606	1961	1269
607	1963	1265
608	1965	1262
609	1967	1258
610	1970	1254
611	1972	1250
612	1975	1246
613	1976	1242
614	1979	1238
615	1981	1234
616	1983	1231
617	1986	1227
618	1988	1223
619	1990	1220
620	1993	1216
621	1995	1212
622	1998	1209
623	2000	1205
624	2002	1201
625	2004	1197
626	2006	1193
627	2008	1189
628	2010	1185
629	2012	1181
630	2014	1178
631	2016	1174
632	2018	1170
633	2020	1166
634	2022	1162
635	2024	1158
636	2026	1155
637	2028	1151
638	2030	1147
639	2033	1143
640	2035	1140
641	2038	1136
642	2040	1132
643	2042	1129
644	2044	1125
645	2046	1121
646	2048	1117
647	2050	1114
648	2052	1110
649	2054	1106
650	2056	1102
651	2058	1098
652	2060	1095
653	2062	1091
654	2064	1087
655	2067	1083
656	2069	1080
657	2071	1076
658	2073	1072
659	2075	1069
660	2077	1065
661	2079	1061
662	2081	1058
663	2084	1054
664	2086	1051
665	2088	1047
666	2091	1044
667	2093	1040
668	2095	1036
669	2097	1032
670	2099	1029
671	2101	1025
672	2103	1022
673	2105	1018
674	2107	1014
675	2109	1011
676	2111	1007
677	2113	1003
678	2115	1000
679	2117	996
680	2119	992
681	2121	989
682	2123	985
683	2125	982
684	2128	978
685	2130	975
686	2132	971
687	2135	968
688	2137	964
689	2139	961
690	2141	957
691	2143	954
692	2145	950
693	2147	947
694	2149	943
695	2151	939
696	2153	936
697	2155	932
698	2157	929
699	2159	925
700	2161	921
701	2163	918
702	2165	914
703	2167	911
704	2169	907
705	2171	904
706	2173	900
707	2175	897
708	2178	893
709	2180	890
710	2182	887
711	2185	883
712	2187	880
713	2189	877
714	2191	873
715	2193	870
716	2195	866
717	2198	863
718	2200	860
719	2203	856
720	2205	853
721	2207	849
722	2209	846
723	2211	842
724	2213	839
725	2215	836
726	2217	832
727	2219	829
728	2221	825
729	2224	822
730	2226	819
731	2228	815
732	2231	812
733	2233	809
734	2235	806
735	2237	802
736	2239	799
737	2241	795
738	2243	792
739	2245	789
740	2247	785
741	2249	782
742	2251	778
743	2253	775
744	2255	772
745	2257	768
746	2259	765
747	2261	762
748	2263	758
749	2265	755
750	2268	752
751	2270	748
752	2272	745
753	2275	742
754	2277	739
755	2280	735
756	2282	732
757	2284	729
758	2286	726
759	2288	722
760	2290	719
761	2292	716
762	2294	712
763	2296	709
764	2298	706
765	2300	702
766	2302	699
767	2304	696
768	2306	692
769	2308	689
770	2310	686
771	2312	683
772	2314	679
773	2317	676
774	2319	673
775	2322	670
776	2324	667
777	2327	664
778	2329	660
779	2331	657
780	2333	654
781	2335	651
782	2338	648
783	2340	644
784	2342	641
785	2344	638
786	2346	634
787	2348	631
788	2350	628
789	2352	625
790	2354	622
791	2356	618
792	2358	615
793	2360	612
794	2362	609
795	2364	606
796	2366	602
797	2369	599
798	2371	596
799	2373	593
800	2376	590
801	2378	587
802	2380	584
803	2382	580
804	2384	577
805	2386	574
806	2388	571
807	2390	568
808	2392	564
809	2394	561
810	2396	558
811	2398	555
812	2400	552
813	2402	549
814	2405	545
815	2406	542
816	2408	539
817	2411	536
818	2413	533
819	2416	530
820	2418	527
821	2420	524
822	2423	521
823	2425	518
824	2427	514
825	2429	511
826	2431	508
827	2433	505
828	2435	502
829	2437	499
830	2439	496
831	2441	492
832	2443	489
833	2445	486
834	2447	483
835	2449	480
836	2451	477
837	2453	474
838	2455	471
839	2457	468
840	2459	465
841	2462	462
842	2464	458
843	2466	455
844	2469	452
845	2471	449
846	2473	446
847	2475	443
848	2477	440
849	2479	437
850	2481	434
851	2483	431
852	2485	428
853	2487	425
854	2489	422
855	2491	419
856	2494	416
857	2496	413
858	2498	410
859	2500	407
860	2502	403
861	2504	400
862	2506	397
863	2508	394
864	2511	391
865	2513	388
866	2516	385
867	2518	382
868	2520	379
869	2522	376
870	2524	373
871	2526	370
872	2528	367
873	2530	364
874	2532	361
875	2534	358
876	2537	355
877	2538	352
878	2540	349
879	2542	346
880	2545	343
881	2547	340
882	2549	337
883	2551	334
884	2553	331
885	2555	328
886	2558	325
887	2560	322
888	2562	319
889	2564	316
890	2567	314
891	2569	311
892	2571	308
893	2573	305
894	2575	302
895	2577	299
896	2579	296
897	2581	293
898	2584	290
899	2586	287
900	2588	284
901	2590	281
902	2592	278
903	2594	275
904	2596	272
905	2598	269
906	2600	266
907	2603	263
908	2605	260
909	2607	257
910	2609	254
911	2612	252
912	2614	249
913	2616	246
914	2618	243
915	2620	240
916	2622	237
917	2624	234
918	2626	231
919	2628	228
920	2630	225
921	2632	222
922	2634	219
923	2636	216
924	2639	213
925	2641	211
926	2643	208
927	2645	205
928	2647	202
929	2649	199
930	2651	196
931	2654	193
932	2656	190
933	2658	187
934	2661	185
935	2663	182
936	2665	179
937	2667	176
938	2669	173
939	2671	170
940	2673	167
941	2675	164
942	2677	161
943	2679	158
944	2681	156
945	2683	153
946	2685	150
947	2687	147
948	2689	144
949	2691	141
950	2693	138
951	2695	135
952	2698	133
953	2700	130
954	2703	127
955	2705	124
956	2707	121
957	2710	118
958	2712	115
959	2714	113
960	2716	110
961	2718	107
962	2720	104
963	2722	101
964	2724	98
965	2726	95
966	2728	93
967	2730	90
968	2732	87
969	2734	84
970	2736	81
971	2739	78
972	2741	76
973	2743	73
974	2746	70
975	2748	67
976	2751	64
977	2753	61
978	2755	59
979	2757	56
980	2760	53
981	2762	50
982	2764	47
983	2766	44
984	2768	42
985	2770	39
986	2772	36
